Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2009-05-31,Shanyuan is an electronics equipment manufacturer.,Shanyuan,https://www.crunchbase.com/organization/shanyuan,"Electronics, Machinery Manufacturing, Manufacturing","Shenzhen, Guangdong, China, Asia",Angel Round - Shanyuan,https://www.crunchbase.com/funding_round/shanyuan-angel--a51fb5ad,5,"Mogao Venture Capital, Shenzhen Capital Group, Shenzhen Jialili Chuangtou, Shenzhen Nanshan Technology Innovation Service Center, Shenzhen Small & Medium Enterprises Credit Financing Guarantee Group",Seed,,Angel,4,3000000,CNY,439297,,,,113000000,CNY,17725715,Yes,,http://www.shanyuan.cc,,IPO,,"487,833"
2009-10-27,HSAE is a automotive electronics industry.,HSAE,https://www.crunchbase.com/organization/hase,"Electronics, Transportation","Shenzhen, Guangdong, China, Asia",Series C - HSAE,https://www.crunchbase.com/funding_round/hase-series-c--30bfa801,5,"Dongfeng Motor Group, Dongshan FangshuiGere Gongcheng, Shenzhen Capital Group, SZ Capital, Yinlingdahang Touzi",Late Stage Venture,,Series C,5,30000000,CNY,4392268,,,,112800000,CNY,15831643,Yes,,http://www.hangsheng.com.cn/,,Late Stage Venture,,"487,914"
2010-04-14,Huiji Food Corporation is a food processing and manufacturing company.,Huiji Food,https://www.crunchbase.com/organization/huiji-food,"Food and Beverage, Food Processing, Manufacturing","Chengdu, Sichuan, China, Asia",Series A - Huiji Food,https://www.crunchbase.com/funding_round/huiji-food-series-a--1d4b4ac8,4,"Beyond Capital, CIVC Partners, Orchid Asia Group Management, Shenzhen Capital Group",Early Stage Venture,,Series A,3,120000000,CNY,17578673,,,,170000000,CNY,25148684,Yes,,http://www.huijifood.com,$1M to $10M,Late Stage Venture,,"487,977"
2010-11-01,Docin is a Chinese social reading platform that provides online users with reading materials.,Docin,https://www.crunchbase.com/organization/docin,"Content, Publishing, Social Media","Haidian, Beijing, China, Asia",Series B - Docin,https://www.crunchbase.com/funding_round/docin-series-b--a22b0135,2,"Qiming Venture Partners, Zero2IPO Ventures",Early Stage Venture,,Series B,3,,,,,,,6000000,USD,6000000,Yes,,http://www.docin.com,,,1,"488,911"
2010-04-01,TaiRui specializes in the production and marketing of veterinary APIs and formulations.,TaiRui,https://www.crunchbase.com/organization/tairui,"Health Care, Manufacturing, Medical","Yinchuan, Ningxia, China, Asia",Angel Round - TaiRui,https://www.crunchbase.com/funding_round/tairui-angel--a3cbfb9a,5,"Co-Stone Venture Capital, CSC Group, Guofu Fund, Jianeng Chuangtou, Willcapital",Seed,,Angel,2,3000000,CNY,439431,,,,13000000,CNY,1955152,Yes,,https://www.tairuiworld.com,,Early Stage Venture,,"489,300"
2009-03-12,AEON LIFE is a life insurance company that provides insurance services.,AEON LIFE,https://www.crunchbase.com/organization/aeon-life,"Financial Services, Insurance, Life Insurance","Shijiazhuang, Hebei, China, Asia",Angel Round - AEON LIFE,https://www.crunchbase.com/funding_round/aeon-life-angel--7d7c1d38,5,"Dashang Group, Dongfang Zichan Guquan Touzibu, Guodian Dianli, Hongcheng Dasha, Liaoning Shidai Wanheng",Seed,,Angel,5,3000000,CNY,438703,,,,328000000,CNY,51936953,Yes,,http://www.aeonlife.com.cn/,,Late Stage Venture,,"490,107"
2009-01-31,Nanfang Shuini is a cement manufacturing company.,Nanfang Shuini,https://www.crunchbase.com/organization/nanfang-shuini,"Building Material, Manufacturing, Sales","Yuhang, Zhejiang, China, Asia",Angel Round - Nanfang Shuini,https://www.crunchbase.com/funding_round/nanfang-shuini-angel--fc2b449d,5,"Bangda Touzi, Huachen Shiji Touzi, Jianfeng Jituan, Jiangxi Wannianqing Cement, Zhongsheng Jituan",Seed,,Angel,2,3000000,CNY,438525,,,,13000000,CNY,1953567,Yes,,http://www.scement.cn/,,Early Stage Venture,,"490,875"
2010-10-01,Ushi is a private business social networking platform connecting professionals and entrepreneurs in China.,Ushi,https://www.crunchbase.com/organization/ushi,"Professional Networking, Social Media","Shanghai, Shanghai, China, Asia",Series A - Ushi,https://www.crunchbase.com/funding_round/ushi-series-a--9222f501,5,"Jose Cheng, Milestone Capital China, Peter Kellner, Richland Investments, Yunli Lou",Early Stage Venture,,Series A,3,1500000,USD,1500000,,,,4500000,USD,4500000,Yes,,http://www.ushi.com,,Early Stage Venture,,"492,656"
2010-12-24,MAP WORLD provides geographic information data services.,MAP WORLD,https://www.crunchbase.com/organization/map-world,"Geospatial, Government, Information Services, Mapping Services","Shunyi, Beijing, China, Asia",Angel Round - MAP WORLD,https://www.crunchbase.com/funding_round/map-world-angel--50f16e13,4,"Eastdawn, GeoStar, GEOWAY, NavInfo",Seed,,Angel,1,3000000,CNY,452419,,,,3000000,CNY,452419,Yes,,http://www.tianditu.gov.cn,,Seed,,"490,904"
2010-06-01,Miliyo is a social software developer that develops dating apps.,Miliyo,https://www.crunchbase.com/organization/miliyo,"Dating, Mobile Apps, Social Media","Minhang, Shanghai, China, Asia",Private Equity Round - Miliyo,https://www.crunchbase.com/funding_round/miliyo-private-equity--564da313,1,Fang Fund Partners,Private Equity,,Private Equity,4,,,,,,,13000000,CNY,2052144,Yes,,http://www.miliyo.com,,,,"537,048"
