Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2017-08-14,Dreamland Maker Technology is an AR and VR animation content provider company.,Dreamland Maker Technology,https://www.crunchbase.com/organization/dreamland-maker-technology,"Animation, Information Services, Virtual Reality","Guangzhou, Guangdong, China, Asia",Series B - Dreamland Maker Technology,https://www.crunchbase.com/funding_round/dreamland-maker-technology-series-b--ef77f0d1,1,Leyo Capital,Early Stage Venture,,Series B,4,20000000,CNY,2998771,,,,80000000,CNY,12332900,Yes,,http://www.acgvr.com/,Less than $1M,Late Stage Venture,,"557,027"
2017-07-21,Jiaoliudian is an app for knowledge sharing where users can send voice classes.,Jiaoliudian,https://www.crunchbase.com/organization/jiaoliudian,"Apps, Knowledge Management, Social","Beijing, Beijing, China, Asia",Angel Round - Jiaoliudian,https://www.crunchbase.com/funding_round/jiaoliudian-angel--6bad44cb,2,"GSR Ventures, Ruchuan Capital",Seed,,Angel,2,3000000,CNY,443357,,,,13000000,CNY,1956218,Yes,,http://www.urmoli.com/,,Early Stage Venture,,"558,345"
2017-07-05,Hopeland is an integrator of RFID hardware and solutions in the field of the internet of things.,Hopeland,https://www.crunchbase.com/organization/hopeland,"Hardware, Internet of Things, RFID","Shenzhen, Guangdong, China, Asia",Angel Round - Hopeland,https://www.crunchbase.com/funding_round/hopeland-angel--4002884f,2,"Shenzhen Jinyue Investment, Zhongtian Runbang",Seed,,Angel,3,3000000,CNY,441100,,,,19000000,CNY,2795652,Yes,,http://www.hopelandiot.com/,,Early Stage Venture,,"558,361"
2017-08-15,BAIC BluePark is an electric vehicle unit of Beijing Automotive Group.,BAIC BluePark,https://www.crunchbase.com/organization/baic-bjev,"Automotive, Electric Vehicle, Energy, Manufacturing, Product Design, Product Research","Beijing, Beijing, China, Asia",Series B - BAIC BluePark,https://www.crunchbase.com/funding_round/baic-bjev-series-b--e36af494,2,"China Cinda Asset Management, Zhongji Investment",Early Stage Venture,,Series B,4,11100000000,CNY,1660289758,16899999999,CNY,2527828550,21250000000,CNY,3051100813,Yes,,https://www.bjev.com.cn/,$1B to $10B,IPO,,"558,555"
2017-09-05,ZJOY offers self-service equipment and IoT service.,ZJOY,https://www.crunchbase.com/organization/zjoy,"Information Technology, Internet, Internet of Things","Wuhu, Anhui, China, Asia",Angel Round - ZJOY,https://www.crunchbase.com/funding_round/zjoy-angel--44e6e7fa,2,"Hangzhou Zhibin, Joyvio Group",Seed,,Angel,2,3000000,CNY,458821,,,,13000000,CNY,1935795,Yes,,http://zjoyvd.com,,Early Stage Venture,,"558,757"
2017-07-27,QED Technique focuses on medical image artificial intelligence analysis technologies.,QED Technique,https://www.crunchbase.com/organization/qed-technique,"Artificial Intelligence (AI), Biotechnology, Image Recognition, Medical","Beijing, Beijing, China, Asia",Series A - QED Technique,https://www.crunchbase.com/funding_round/qed-technique-series-a--aa9f0279,1,Csg Smart Science & Technology,Early Stage Venture,,Series A,3,20000000,CNY,2967065,,,,44500000,CNY,6690476,Yes,,http://www.qed-tec.com/,,Early Stage Venture,,"559,289"
2017-07-20,Suishen Jiao is a piano training service provider.,Suishen Jiao,https://www.crunchbase.com/organization/suishen-jiao,"Education, Training","Hangzhou, Zhejiang, China, Asia",Seed Round - Suishen Jiao,https://www.crunchbase.com/funding_round/suishen-jiao-seed--5f76505c,1,Hangzhou Wendao Touzi,Seed,,Seed,3,3000000,CNY,443814,,,,7000000,CNY,1091254,Yes,,https://www.suishenjiao.com/,,M&A,,"561,666"
2017-09-11,Genduiren is a headhunting service provider company.,Genduiren,https://www.crunchbase.com/organization/genduiren,"Human Resources, Recruiting, Staffing Agency","Beijing, Beijing, China, Asia",Series A - Genduiren,https://www.crunchbase.com/funding_round/genduiren-series-a--284331f7,1,Eagles Fund,Early Stage Venture,,Series A,3,10000000,CNY,1531089,,,,14000000,CNY,2176104,Yes,,https://www.genduiren.cn/,,Early Stage Venture,,"561,726"
2017-08-07,Iprocom focuses on the research and development of vitro diagnostic reagents and instruments.,Iprocom,https://www.crunchbase.com/organization/iprocom,"Biotechnology, Health Diagnostics, Medical Device","Hefei, Anhui, China, Asia",Private Equity Round - Iprocom,https://www.crunchbase.com/funding_round/iprocom-private-equity--64f580cd,1,Crown Asia Investment,Private Equity,,Private Equity,1,,,,,,,,,,Yes,,http://www.epnk.cn,,Private Equity,,"563,592"
2017-09-01,Shanghai Powermax Technology provides intelligent automation solutions for the sewing equipment.,Shanghai Powermax Technology,https://www.crunchbase.com/organization/shanghai-powermax-technology,"Industrial Automation, Machinery Manufacturing, Mechanical Engineering","Zhangjiang, Shanghai, China, Asia",Series A - Shanghai Powermax Technology,https://www.crunchbase.com/funding_round/shanghai-powermax-technology-series-a--22194601,1,GSR United Capital,Early Stage Venture,,Series A,1,36774190,CNY,5604754,,,,36774190,CNY,5604754,Yes,,https://web.archive.org/web/20181020225128/http://www.powermaxtech.com/english/,,Early Stage Venture,,"562,149"
