Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round),Sentiment
2023-01-06,Weichen Xin'an offers network security products and services for intelligent networked vehicles.,Weichen Xin'an,https://www.crunchbase.com/organization/weichen-xin-an,"Autonomous Vehicles, Electric Vehicle","Guangdong, Jilin, China, Asia",Venture Round - Weichen Xin'an,https://www.crunchbase.com/funding_round/weichen-xin-an-series-unknown--d7fd8bdd,1,CMG-SDIC Capital Management,,CMG-SDIC Capital Management,Venture - Series Unknown,1,,,,,,,,,,Yes,,http://www.vecentek.com/,,,,"85,337",
2023-03-17,One-dimensional technology is a provider of highly integrated electric control assembly solutions for electric vehicles.,Yiwei Technology,https://www.crunchbase.com/organization/yiwei-technology,"Electric Vehicle, Internet of Things","Hefei, Anhui, China, Asia",Series B - Yiwei Technology,https://www.crunchbase.com/funding_round/yiwei-technology-series-b--dcf889bd,1,Huagong Tech,Early Stage Venture,Huagong Tech,Series B,1,,,,,,,,,,Yes,,http://in-1.cn/,$50M to $100M,Early Stage Venture,,"85,342",
2023-02-24,"Thor Innovation is a high-tech enterprise mainly engaged in haptics, an electronic simulation of tactile sense.",Thor Innovation,https://www.crunchbase.com/organization/thor-innovation,Information Technology,"Suzhou, Jiangsu, China, Asia",Series A - Thor Innovation,https://www.crunchbase.com/funding_round/thor-innovation-series-a--0060e744,2,"CCB International, Dunhong Capital Management",Early Stage Venture,CCB International,Series A,2,90000000,CNY,12938098,,,,140000000,CNY,20660702,Yes,,https://www.thorinnovation.com,,Early Stage Venture,,"85,361",
2023-02-02,Yinuo Pharmaceuticals is a small molecule inhibitor drug developer.,Yinuo Pharmaceutical,https://www.crunchbase.com/organization/yinuo-pharmaceutical,"Biotechnology, Medical, Pharmaceutical","Hangzhou, Zhejiang, China, Asia",Seed Round - Yinuo Pharmaceutical,https://www.crunchbase.com/funding_round/yinuo-pharmaceutical-seed--ebc4ac0f,3,"Huajin Capital, Zhongbo Juli, Zhuhai High Tech Investment",Seed,Huajin Capital,Seed,2,40000000,CNY,5941329,,,,125941329,USD,125941329,Yes,,,,Seed,,"85,370",
2023-03-02,Jodell Robotics is one-stop electric servo actuator component manufacturer.,Jodell Robotics,https://www.crunchbase.com/organization/jodell-robotics,"Machinery Manufacturing, Manufacturing, Robotics","Suzhou, Jiangsu, China, Asia",Series B - Jodell Robotics,https://www.crunchbase.com/funding_round/jodell-robotics-series-b--08464c67,4,"Dunhong Capital Management, Share Capital, VenturesLab, Wen's Investment",Early Stage Venture,Wen's Investment,Series B,2,90000000,CNY,13014620,,,,140000000,CNY,20901055,Yes,,http://www.jodell.cn/,,Early Stage Venture,2,"85,632",
2023-01-06,Hechen New Materials is a research and development manufacturer of fine polishing materials.,Hechen New Material,https://www.crunchbase.com/organization/hechen-new-material,"Advanced Materials, Industrial, Manufacturing","Hefei, Anhui, China, Asia",Series B - Hechen New Material,https://www.crunchbase.com/funding_round/hechen-new-material-series-b--c3932945,2,"Oriental Fortune Capital, SZHTI Group",Early Stage Venture,SZHTI Group,Series B,1,100000000,CNY,14623090,,,,100000000,CNY,14623090,Yes,,http://ahhechen.com,,Early Stage Venture,,"85,374",
2023-03-14,Lucky Cat Tea is a manufacturing company that sells a wide range of premium tea products for customers in the vicinity.,Lucky Cat Tea,https://www.crunchbase.com/organization/lucky-cat-tea,"Food and Beverage, Manufacturing, Restaurants","Suzhou, Jiangsu, China, Asia",Series A - Lucky Cat Tea,https://www.crunchbase.com/funding_round/lucky-cat-tea-series-a--51f856f3,1,Hony Capital,Early Stage Venture,Hony Capital,Series A,1,50000000,CNY,7276432,,,,50000000,CNY,7276432,Yes,,http://www.luckycattea.com/,,Early Stage Venture,,"85,378",
2023-03-30,Xinyaotu is a full-stack intelligent sensor-sensing-computing integrated single-chip solution provider with AI algorithm research.,Xinyaotu Technology,https://www.crunchbase.com/organization/xinyaotu-technology,"Artificial Intelligence (AI), Semiconductor, Sensor","Zhuhai, Guangdong, China, Asia",Angel Round - Xinyaotu Technology,https://www.crunchbase.com/funding_round/xinyaotu-technology-angel--b0f02bca,1,ECC Capital,Seed,ECC Capital,Angel,1,,,,,,,,,,Yes,,http://www.solitorch.com/,,Seed,1,"85,381",
2023-04-06,Keyin Tech is a physical robotics and cloud technology platform.,Keyin Tech,https://www.crunchbase.com/organization/keyin-tech,"Health Care, Medical Device, Robotics","Putuo, Shanghai, China, Asia",Series A - Keyin Tech,https://www.crunchbase.com/funding_round/keyin-tech-series-a--f4dd754d,2,"BMC, Shenzhen Investment Holdings",Early Stage Venture,Shenzhen Investment Holdings,Series A,3,,,,,,,45000000,CNY,6736707,Yes,,http://www.keyinchina.com/,,Early Stage Venture,,"85,510",
2023-03-10,Digital Bicycle is a big data technology company that provides products and services for enterprises.,Digital Bicycle,https://www.crunchbase.com/organization/digital-bicycle,"Big Data, Corporate Training, Database","Hangzhou, Zhejiang, China, Asia",Series A - Digital Bicycle,https://www.crunchbase.com/funding_round/digital-bicycle-series-a--aaf29f86,1,"Hangzhou Shi Gongshu Qu Jingji Fazhan Touzi Co., Ltd.",Early Stage Venture,"Hangzhou Shi Gongshu Qu Jingji Fazhan Touzi Co., Ltd.",Series A,1,90000000,CNY,13031580,,,,90000000,CNY,13031580,Yes,,https://www.brandnewdata.com/,,Early Stage Venture,,"85,401",
2023-01-12,Baikang Bio is an in vitro diagnostic and upstream core raw material developer of biological drugs.,Baikang Bio,https://www.crunchbase.com/organization/baikang-bio,"Biotechnology, Medical, Pharmaceutical","Nanjing, Jiangsu, China, Asia",Series A - Baikang Bio,https://www.crunchbase.com/funding_round/baikang-bio-series-a--6e853f1c,3,"Bondshine Capital, Fang Fund Partners, Guoqian Venture Capital",Early Stage Venture,Fang Fund Partners,Series A,1,90000000,CNY,13355494,,,,90000000,CNY,13355494,Yes,,https://www.bioantibody.com.cn,,Early Stage Venture,3,"85,663",
2023-02-08,Guangxin Technology is committed to the rapid acquisition and processing of spectral and imaging multi-dimensional physical data.,Guangxin Technology,https://www.crunchbase.com/organization/guangxin-technology,"Industrial, Sensor","Haizhu, Hainan, China, Asia",Angel Round - Guangxin Technology,https://www.crunchbase.com/funding_round/guangxin-technology-angel--b2315a2c,1,Inspiration Capital,Seed,Inspiration Capital,Angel,1,,,,,,,,,,Yes,,http://www.guangdianyun.tech,,Seed,,"85,656",
2023-02-27,Xorbits is a Python data processing and AI acceleration framework that can speed up many popular Python libraries.,Xorbits,https://www.crunchbase.com/organization/xorbits,"Information Technology, Software","Hangzhou, Zhejiang, China, Asia",Angel Round - Xorbits,https://www.crunchbase.com/funding_round/xorbits-angel--bffb3f42,1,Glory Ventures,Seed,Glory Ventures,Angel,1,,,,,,,,,,Yes,,https://xorbits.cn,,Seed,1,"85,402",
2023-01-12,Chaojing Automobile is a high-end personalized car brand.,Chaojing Automobile,https://www.crunchbase.com/organization/chaojing-automobile,"Automotive, Autonomous Vehicles, Car Sharing","Guangdong, Jilin, China, Asia",Series B - Chaojing Automobile,https://www.crunchbase.com/funding_round/chaojing-automobile-series-b--6748fa34,2,"Guangzhou Yuexiu Industrial Investment Fund, Hanhui Touzi",Early Stage Venture,Hanhui Touzi,Series B,1,90000000,CNY,13355494,,,,90000000,CNY,13355494,Yes,,https://www.cyberspace.link/,,Early Stage Venture,,"85,516",
2023-02-06,Juehua Medical is a medical technology company focusing on the field of visual health.,Juehua Medical,https://www.crunchbase.com/organization/juehua-medical,"Biotechnology, Health Care, Medical, Pharmaceutical","Taizhou, Jiangsu, China, Asia",Angel Round - Juehua Medical,https://www.crunchbase.com/funding_round/juehua-medical-angel--a710786b,1,Linear Capital,Seed,Linear Capital,Angel,1,,,,,,,,,,Yes,,http://beta.qingshiyuan.com/portal/index,,Seed,1,"85,517",
2023-04-04,Dashi Cowin is a healthcare big data service provider.,Cowin Health,https://www.crunchbase.com/organization/cowin-health,"Health Care, Medical, Medical Device","Nanshan, Hunan, China, Asia",Series A - Cowin Health,https://www.crunchbase.com/funding_round/cowin-health-series-a--ded9b87b,2,"Ginkgo Angel Fund, SZHTI Group",Early Stage Venture,SZHTI Group,Series A,1,,,,,,,,,,Yes,,https://www.cowinhealth.com/,,Early Stage Venture,2,"85,519",
2023-01-12,Yujun Bio is a drug manufacturing company that makes new materials.,Yujun Bio,https://www.crunchbase.com/organization/yujun-bio,"Biotechnology, Pharmaceutical","Shanghai, Shanghai, China, Asia",Series B - Yujun Bio,https://www.crunchbase.com/funding_round/yujun-bio-series-b--9454c539,2,"Huadian Fund, Lingdu Capital",Early Stage Venture,Huadian Fund,Series B,1,,,,,,,,,,Yes,,https://www.eyougene.com/,,Early Stage Venture,,"85,413",
2023-01-30,"Density Robotics is a company in the field of warehousing robotics, focusing on innovative solutions for high-capacity storage needs.",Density Robotics,https://www.crunchbase.com/organization/density-robotics,"Robotics, Warehousing","Shanghai, Shanghai, China, Asia",Angel Round - Density Robotics,https://www.crunchbase.com/funding_round/density-robotics-angel--28e29642,2,"Huaye Tiancheng Capital, UnityVC",Seed,Huaye Tiancheng Capital,Angel,1,35000000,CNY,5186107,,,,35000000,CNY,5186107,Yes,,http://cn.density-robotics.com/,,Seed,1,"85,423",
2023-02-17,Yuhai Technology is a provider of cloud CAE simulation solutions.,Yuhai Technology,https://www.crunchbase.com/organization/yuhai-technology,"Cloud Computing, Cloud Data Services, Cloud Storage","Minhang, Shanghai, China, Asia",Seed Round - Yuhai Technology,https://www.crunchbase.com/funding_round/yuhai-technology-seed--9cd23dac,1,Xiaomiao Langcheng,Seed,Xiaomiao Langcheng,Seed,1,9000000,CNY,1310482,,,,9000000,CNY,1310482,Yes,,http://paracs.com/,,Seed,,"85,662",
2023-01-11,Suzhou Dongfang Zhilv Information Technology is a tourism big data platform.,Suzhou Dongfang Zhilv Information Technology,https://www.crunchbase.com/organization/oriental-smart-travel,"Apps, Tourism, Travel","Nanjing, Jiangsu, China, Asia",Venture Round - Suzhou Dongfang Zhilv Information Technology,https://www.crunchbase.com/funding_round/oriental-smart-travel-series-unknown--ab833681,1,Iflytek,,Iflytek,Venture - Series Unknown,1,,,,,,,,,,Yes,,http://www.leyoobao.com,,,,"85,433",
2023-04-07,Miaokong Network is an international freight forwarding service provider.,Miaokong Network,https://www.crunchbase.com/organization/miaokong-network,"Freight Service, Logistics, Supply Chain Management","Changning, Shanghai, China, Asia",Angel Round - Miaokong Network,https://www.crunchbase.com/funding_round/miaokong-network-angel--3a786d79,1,Blue Origin Capital,Seed,Blue Origin Capital,Angel,1,,,,,,,,,,Yes,,https://myokon.com,,Seed,,"85,685",
2023-04-07,Yuteng Electronics is committed to the upgrading and transformation of related equipment in the optoelectronic and semiconductor industries,Yuteng Electronics,https://www.crunchbase.com/organization/yuteng-electronics,"Electronics, Enterprise, Semiconductor","Xian Shi, Shaanxi, China, Asia",Seed Round - Yuteng Electronics,https://www.crunchbase.com/funding_round/yuteng-electronics-seed--5a3b8b55,1,Shaanxi Venture Capital,Seed,Shaanxi Venture Capital,Seed,1,,,,,,,,,,Yes,,http://www.syt-tech.com/,,Seed,,"85,532",
2023-02-27,Ant decoration is a large digital home furnishing service platform.,Ant decoration,https://www.crunchbase.com/organization/ant-decoration,"Data Center, Marketing, Sales","Foshan, Guangdong, China, Asia",Angel Round - Ant decoration,https://www.crunchbase.com/funding_round/ant-decoration-angel--0a0c781d,1,Yinshan Capital,Seed,Yinshan Capital,Angel,1,,,,,,,,,,Yes,,https://www.antsschina.com,,Seed,,"85,446",
2023-03-13,ChiefClouds focuses on government big data and industrial big data platform construction and application.,ChiefClouds,https://www.crunchbase.com/organization/chiefclouds,"Analytics, Big Data, Cloud Data Services, Internet","Shanghai, Shanghai, China, Asia",Series B - ChiefClouds,https://www.crunchbase.com/funding_round/chiefclouds-series-b--df307353,3,"Hang Sheng Digital Industry Fund, IDG Capital, Shaanxi Investment Capital",Early Stage Venture,Hang Sheng Digital Industry Fund,Series B,2,100000000,CNY,14607710,,,,100000000,CNY,14607710,Yes,,https://www.chiefclouds.com/index.html,,Early Stage Venture,1,"85,536",
2023-03-14,Qingdao Shengde Medical and Nursing Group is a large-scale medical and health care service provider.,Qingdao Shengde Medical and Nursing Group,https://www.crunchbase.com/organization/qingdao-shengde-medical-and-nursing-group,"Health Care, Hospital, Medical","Shinan, Guangdong, China, Asia",Series A - Qingdao Shengde Medical and Nursing Group,https://www.crunchbase.com/funding_round/qingdao-shengde-medical-and-nursing-group-series-a--fbd4d418,1,China General Technology,Early Stage Venture,China General Technology,Series A,1,,,,,,,,,,Yes,,http://www.singdeyy.com/,,Early Stage Venture,,"85,701",
2023-02-20,Facebox develops face recognition technology and authentication equipment.,Facebox,https://www.crunchbase.com/organization/facebox,"Cloud Computing, Facial Recognition, Internet of Things","Shijiazhuang, Hebei, China, Asia",Series B - Facebox,https://www.crunchbase.com/funding_round/facebox-series-b--473226eb,1,Zijin High-Tech Venture Capital,Early Stage Venture,Zijin High-Tech Venture Capital,Series B,2,90000000,CNY,13128911,,,,93000000,CNY,13602658,Yes,,http://hebsckj.com,,Early Stage Venture,,"86,015",
2023-02-10,MEMS-Casting Semiconductor Technology is a start-up semiconductor equipment developer.,MEMS-Casting Semiconductor Technology,https://www.crunchbase.com/organization/mems-casting-semiconductor-technology,"Electrical Distribution, Electronics, Manufacturing, Semiconductor","Shanghai, Shanghai, China, Asia",Seed Round - MEMS-Casting Semiconductor Technology,https://www.crunchbase.com/funding_round/mems-casting-semiconductor-technology-seed--93632331,3,"Guangzhou Development Group, Shanghai Lvhe Chengyang Chuangye Touzi, Wuhan Zhihua Investment",Seed,Wuhan Zhihua Investment,Seed,2,15000000,CNY,2202805,,,,15000000,CNY,2202805,Yes,,http://www.mctsemi.com,,Seed,,"85,540",
2023-03-16,Dongyin Technology is a full supply chain digital solution and SAAS service provider.,Dongyin Technology,https://www.crunchbase.com/organization/dongyin-technology,"Logistics, SaaS, Supply Chain Management","Shanghai, Shanghai, China, Asia",Series A - Dongyin Technology,https://www.crunchbase.com/funding_round/dongyin-technology-series-a--979ac132,1,Hidden Hill Capital,Early Stage Venture,Hidden Hill Capital,Series A,1,100000000,CNY,14495905,,,,100000000,CNY,14495905,Yes,,http://www.deepinsights.com.cn/,,Early Stage Venture,,"85,463",
2023-01-18,Bliss Bio is a biopharmaceutical company focused on development of tumor targeting and immunotherapy drugs.,BlissBio,https://www.crunchbase.com/organization/bliss-biopharmaceutical-hangzhou-co-ltd,"Biopharma, Biotechnology, Pharmaceutical","Hangzhou, Zhejiang, China, Asia",Series B - BlissBio,https://www.crunchbase.com/funding_round/bliss-biopharmaceutical-hangzhou-co-ltd-series-b--23a1eb88,3,"In Capital, Oriental Fortune Capital, Sherpa Healthcare Partners",Early Stage Venture,In Capital,Series B,2,100000000,CNY,14818986,,,,500000000,CNY,76160212,Yes,,http://www.blissbiopharma.com,,Early Stage Venture,,"86,020",
2023-03-17,Tanjia Technology focuses on research and production of unique high-tech Molecular micro-nano structure materials.,Tanjia Technology,https://www.crunchbase.com/organization/tanjia-technology,"Building Material, Chemical, Enterprise","Haidian, Beijing, China, Asia",Seed Round - Tanjia Technology,https://www.crunchbase.com/funding_round/tanjia-technology-seed--a27b0d92,1,IDG Capital,Seed,IDG Capital,Seed,1,,,,,,,,,,Yes,,http://www.tanovus.com/en/index.html,,Seed,,"86,023",
2023-02-02,Weiyun Semiconductor is a research and development manufacturer of semiconductor plasma equipment.,Weiyun Semiconductor,https://www.crunchbase.com/organization/weiyun-semiconductor,"Electrical Distribution, Electronics, Manufacturing, Semiconductor","Shanghai, Shanghai, China, Asia",Series A - Weiyun Semiconductor,https://www.crunchbase.com/funding_round/weiyun-semiconductor-series-a--8330977a,2,"Nuoyan Capital, Sunic Capital",Early Stage Venture,Nuoyan Capital,Series A,1,,,,,,,,,,Yes,,http://winetch.com/,,Early Stage Venture,,"85,468",
2023-01-05,Paihe Technology is a developer of piezoelectric products and services.,Paihe Technology,https://www.crunchbase.com/organization/paihe-technology,"Electronics, Industrial, Manufacturing","Beijing, Beijing, China, Asia",Series A - Paihe Technology,https://www.crunchbase.com/funding_round/paihe-technology-series-a--95e0b2a0,2,"Beijing Capital Science and Technology Development Group, TusStar",Early Stage Venture,TusStar,Series A,1,,,,,,,,,,Yes,,http://www.phpiezo.com/,,Early Stage Venture,,"85,726",
2023-04-03,LEKIN is a developer of optoelectronic compound semiconductor products.,Lilong Semiconductor,https://www.crunchbase.com/organization/lilong-semiconductor,"Electronics, Manufacturing, Semiconductor","Taicang, Jiangsu, China, Asia",Series A - Lilong Semiconductor,https://www.crunchbase.com/funding_round/lilong-semiconductor-series-a--5fe2c345,4,"SooChow Securities, Tahoe Venture, Zhongxin Capital, Zhuopu Capital",Early Stage Venture,Zhongxin Capital,Series A,1,90000000,CNY,13084628,,,,90000000,CNY,13084628,Yes,,https://www.lekinsemi.com/,,Early Stage Venture,,"85,549",
2023-02-10,Huaer Duo Duo is a Douyin local life full case marketing service provider.,Hua'er Duo Duo,https://www.crunchbase.com/organization/hua-er-duo-duo,"Content, Digital Marketing, Marketing","Luoyang, Guangdong, China, Asia",Series A - Hua'er Duo Duo,https://www.crunchbase.com/funding_round/hua-er-duo-duo-series-a--d4e618bf,1,Yeahka,Early Stage Venture,Yeahka,Series A,1,10000000,CNY,1468537,,,,10000000,CNY,1468537,Yes,,https://partner.huaerduoduo.com/pc/#/index,,Early Stage Venture,,"85,710",
2023-02-12,Pier88 Health is a mental health company that provides chronic pain management services.,Pier88 Health,https://www.crunchbase.com/organization/pier88-health,"Health Care, Medical, Mental Health, Pharmaceutical","Binjiang, Jiangxi, China, Asia",Private Equity Round - Pier88 Health,https://www.crunchbase.com/funding_round/pier88-health-private-equity--20fcfec9,1,Tibet AIM Pharm,Private Equity,Tibet AIM Pharm,Private Equity,1,6000000,USD,6000000,,,,6000000,USD,6000000,Yes,,https://www.p88health.com,$1M to $10M,Private Equity,,"85,740",
2023-02-09,GP Nano is a manufacturer of functional circuits and electronic devices based on precision printing manufacturing technology.,Green Exhibition Technology,https://www.crunchbase.com/organization/green-exhibition-technology,"Electronics, Machinery Manufacturing, Manufacturing, Printing","Foshan, Guangdong, China, Asia",Series A - Green Exhibition Technology,https://www.crunchbase.com/funding_round/green-exhibition-technology-series-a--15312b3b,1,Shenzhen Guozhong Venture Capital Management,Early Stage Venture,Shenzhen Guozhong Venture Capital Management,Series A,2,,,,,,,,,,Yes,,https://www.gpgnano.com/#/home,,Early Stage Venture,1,"85,711",
2023-02-12,Huanzhi Technology offers integrated logistical solutions such as robots and unmanned control systems for industrial and dispatch vehicles.,Huanzhi Technology,https://www.crunchbase.com/organization/huanzhi-technology,"Automotive, Autonomous Vehicles, Industrial Manufacturing, Logistics, Robotics","Hefei, Anhui, China, Asia",Venture Round - Huanzhi Technology,https://www.crunchbase.com/funding_round/huanzhi-technology-series-unknown--3e1a5fc9,1,Yingke Capital,,Yingke Capital,Venture - Series Unknown,1,30000000,CNY,4405631,,,,30000000,CNY,4405631,Yes,,http://www.huan-zhi.com/index.html,,,,"85,479",
2023-03-06,Zhongke Shuaitian Pharmaceutical is a pharmaceutical manufacturing company.,Zhongke Shuaitian Pharmaceutical,https://www.crunchbase.com/organization/zhongke-shuaitian-pharmaceutical,"Manufacturing, Medical, Pharmaceutical","Nanshan, Hunan, China, Asia",Venture Round - Zhongke Shuaitian Pharmaceutical,https://www.crunchbase.com/funding_round/zhongke-shuaitian-pharmaceutical-series-unknown--9b012c76,1,Nanshan War Xintou,,Nanshan War Xintou,Venture - Series Unknown,1,,,,,,,,,,Yes,,,,,,"85,552",
2023-04-07,Guanyu Technology is a microdisplay developer.,Guanyu Technology,https://www.crunchbase.com/organization/guanyu-technology-541d,"Electronics, Manufacturing, Wireless","Hangzhou, Zhejiang, China, Asia",Series B - Guanyu Technology,https://www.crunchbase.com/funding_round/guanyu-technology-541d-series-b--04dbe808,1,Zhejiang Zomax Transmission,Early Stage Venture,Zhejiang Zomax Transmission,Series B,1,,,,,,,,,,Yes,,https://www.imktnt.com/,,Early Stage Venture,,"85,486",
2023-02-07,"SMIC Thermal Technology is a service provider of infrared quantum material device preparation and packaging technology,",SMIC,https://www.crunchbase.com/organization/smic-0745,"Electrical Distribution, Electronics, Semiconductor","Beijing, Beijing, China, Asia",Seed Round - SMIC,https://www.crunchbase.com/funding_round/smic-0745-seed--089bfc65,3,"Aerospace Science & Industry Asset Management, Founder H Fund, Taiyou Fund",Seed,Aerospace Science & Industry Asset Management,Seed,1,,,,,,,,,,Yes,,,,Seed,,"86,029",
2023-02-02,"Jia Pets engages in the manufacturing, warehousing, and sales of pet product brands.",Jia Pets,https://www.crunchbase.com/organization/jia-pets,"Animal Feed, Manufacturing, Pet","Xuzhou, Jiangsu, China, Asia",Venture Round - Jia Pets,https://www.crunchbase.com/funding_round/jia-pets-series-unknown--9d66d32a,2,"Guangdian Capital, Unicharm",,Unicharm,Venture - Series Unknown,1,,,,,,,,,,Yes,,http://www.jijiapets.com,,,,"86,030",
2023-02-21,Hairuisi is a supplier of airtightness testing technology solutions and equipment for testing the water resistance of products.,Hairuisi Automation Technology,https://www.crunchbase.com/organization/hairuisi-automation-technology,"Advanced Materials, Industrial Automation, Manufacturing, Usability Testing","Baoan, Guangdong, China, Asia",Series A - Hairuisi Automation Technology,https://www.crunchbase.com/funding_round/hairuisi-automation-technology-series-a--c4c76379,1,Shenzhen Capital Group,Early Stage Venture,Shenzhen Capital Group,Series A,1,,,,,,,,,,Yes,,https://www.hairuisi.cn,,Early Stage Venture,,"85,492",
2023-01-13,Shangcheng Information engages in the development and application of computer software and hardware.,Shangcheng Information,https://www.crunchbase.com/organization/shangcheng-information,"Information Services, Information Technology","Futian, Guangdong, China, Asia",Venture Round - Shangcheng Information,https://www.crunchbase.com/funding_round/shangcheng-information-series-unknown--6479834c,1,Thinkive,,Thinkive,Venture - Series Unknown,1,,,,,,,,,,Yes,,http://www.wescxx.com/#/home,,,,"85,499",
2023-01-31,Spectron Technologies filters and microsystems for the communication platforms.,Spectron Technologies,https://www.crunchbase.com/organization/spectron-technologies,"Electrical Distribution, Electronics, Semiconductor","Shenzhen, Guangdong, China, Asia",Seed Round - Spectron Technologies,https://www.crunchbase.com/funding_round/spectron-technologies-seed--965bd902,2,"Qingsong Fund, SDIC Venture Capital",Seed,SDIC Venture Capital,Seed,1,100000000,CNY,14804506,,,,100000000,CNY,14804506,Yes,,https://www.spectrontech.com,,Seed,2,"85,752",
2023-03-23,Parity Electronics is a provider of high-performance single-photon detection integrated circuit solutions.,Parity Electronics,https://www.crunchbase.com/organization/parity-electronics,"Electronics, Medical, Semiconductor","Hangzhou, Zhejiang, China, Asia",Venture Round - Parity Electronics,https://www.crunchbase.com/funding_round/parity-electronics-series-unknown--ccf91140,1,Great Wall Motors,,Great Wall Motors,Venture - Series Unknown,2,,,,,,,,,,Yes,,http://www.microparity.com/,,,1,"86,039",
2023-01-16,Jiyu Technology is engaged in the research and development of drive-by-wire chassis for autonomous driving and unmanned vehicles.,Jiyu Technology,https://www.crunchbase.com/organization/jiyu-technology,"Automotive, Autonomous Vehicles, Car Sharing, Energy Storage, Last Mile Transportation, Recreational Vehicles, Transportation","Shanghai, Shanghai, China, Asia",Seed Round - Jiyu Technology,https://www.crunchbase.com/funding_round/jiyu-technology-seed--e90ecc88,4,"Shanghai Bochi Zichan Guanli, Yizhou Capital, Zongmu, Zuoyu Capital",Seed,Zongmu,Seed,1,,,,,,,,,,Yes,,http://en.shanghaijiyu.com/,,Seed,1,"86,044",
2023-02-07,Chenman Sci & Tech is a software company that develops and specializes in commercial energy management software.,Chenman Sci & Tech,https://www.crunchbase.com/organization/chenman-sci-tech,"Commercial, Energy, Energy Storage, Internet of Things, Software","Chengdu, Sichuan, China, Asia",Venture Round - Chenman Sci & Tech,https://www.crunchbase.com/funding_round/chenman-sci-tech-series-unknown--207ed9f5,2,"Zhencheng Capital, Zhongguancun Bank",,Zhencheng Capital,Venture - Series Unknown,2,50000000,CNY,7360843,,,,70000000,CNY,10522748,Yes,,https://www.smalleel.com,,,2,"85,567",
2023-04-07,Zhongke Xingrui focuses on the manufacture of optical and radar imaging satellites.,Zhongke Xingrui,https://www.crunchbase.com/organization/zhongke-xingrui,"Image Recognition, Satellite Communication, Sensor","Haidian, Beijing, China, Asia",Series A - Zhongke Xingrui,https://www.crunchbase.com/funding_round/zhongke-xingrui-series-a--e286937e,3,"Jinan Industry Research Zhongxiang RMB Fund, Jinan Xianxing No. 2 Equity Investment Fund, Shandong Industry Research Equity Investment Fund of Funds",Early Stage Venture,Jinan Xianxing No. 2 Equity Investment Fund,Series A,1,100000000,CNY,14554558,,,,100000000,CNY,14554558,Yes,,https://starwiz.cn/,,Early Stage Venture,,"85,765",
2023-02-09,Ankexun Fujian Technology is a wireless access business department that is in the production of WLAN and LTE products.,Anktion Tech,https://www.crunchbase.com/organization/anktion-tech,"Communication Hardware, Communications Infrastructure, Hardware","Fuzhou Shi, Jiangxi, China, Asia",Venture Round - Anktion Tech,https://www.crunchbase.com/funding_round/anktion-tech-series-unknown--f3390121,1,Beilu Zhikong,,Beilu Zhikong,Venture - Series Unknown,1,,,,,,,,,,Yes,,http://www.anktion.com/,,,,"85,771",
2023-01-13,Roadshow China is a platform that proivdes digital IRM solution.,Roadshow China,https://www.crunchbase.com/organization/roadshow-china,"Advertising Platforms, Information Services, Marketing","Shenzhen, Guangdong, China, Asia",Series B - Roadshow China,https://www.crunchbase.com/funding_round/roadshow-china-series-b--7a184eb0,1,East Money Information,Early Stage Venture,East Money Information,Series B,3,,,,,,,3723771,USD,3723771,Yes,,https://www.roadshowchina.cn/,,Early Stage Venture,,"85,784",
2023-01-12,Jingxin Technology is a manufacturer of solar PV modules for photovoltaic industry.,Daxia Zouguang,https://www.crunchbase.com/organization/daxia-zouguang,"Energy Efficiency, Renewable Energy, Solar","Shanghai, Shanghai, China, Asia",Series A - Daxia Zouguang,https://www.crunchbase.com/funding_round/daxia-zouguang-series-a--744b0c63,2,"Altenergy Power System, String Capital",Early Stage Venture,String Capital,Series A,1,,,,,,,,,,Yes,,http://www.daxiazhaoguang.com/#/,,Early Stage Venture,,"85,804",
2023-03-30,Eneng Medicine is a national high-tech enterprise focusing on the development of new Chinese medicines and natural medicines.,Yineng Pharma,https://www.crunchbase.com/organization/yineng-pharma,"Emergency Medicine, Health Care, Medical","Changshan, Hunan, China, Asia",Series A - Yineng Pharma,https://www.crunchbase.com/funding_round/yineng-pharma-series-a--5c8d3454,2,"Guangdong Traditional Chinese Medicine Health Fund, Huaige Capital",Early Stage Venture,Guangdong Traditional Chinese Medicine Health Fund,Series A,1,100000000,CNY,14552016,,,,100000000,CNY,14552016,Yes,,http://www.hnynswyy.cn/index,,Early Stage Venture,1,"85,577",
2023-03-02,Heguang New Energy a high-tech enterprise that manufactures square silicon cores.,Heguang New Energy,https://www.crunchbase.com/organization/heguang-new-energy,"Industrial Manufacturing, Manufacturing","Hohhot, Nei Mongol, China, Asia",Series B - Heguang New Energy,https://www.crunchbase.com/funding_round/heguang-new-energy-series-b--fbda6cbe,2,"Addor Capital, Tianqi Investment",Early Stage Venture,Addor Capital,Series B,1,,,,,,,,,,Yes,,,,Early Stage Venture,1,"85,820",
